_id,name,village,district,pricePerNight,propertyType,category,maxGuests,ownerContact,lat,lng
"osm-3068361907","Shisham Hostel","Dehradun","Dehradun","1600","Backpacker Hostel","Adventure","4","","30.3375702","78.0017873"
"osm-3188830465","Hotel Arjun","Haridwar","Haridwar","3300","Boutique Hotel","Nature Eco","2","","29.9461529","78.1580817"
"osm-3474642238","The Real Place","Almora","Almora","2500","Homestay","Nature Eco","5","+919470736132","29.6464119","79.6647415"
"osm-3811570228","Forest Rest House","Uttarkashi","Uttarkashi","1900","Homestay","Wildlife","5","","31.1505971","78.4292893"
"osm-3812555001","Yoga Villa","Haridwar","Haridwar","3500","Boutique Hotel","Nature Eco","3","01352440144","30.1200241","78.3192261"
"osm-3812555002","Negi Bhawan","Haridwar","Haridwar","2200","Homestay","Nature Eco","4","8126375433","30.1204867","78.3195937"
"osm-3812555003","Swasti Yogshala","Haridwar","Haridwar","2300","Homestay","Nature Eco","5","","30.1205528","78.3205379"
"osm-3812555177","Narayana Kunj","Haridwar","Haridwar","4000","Boutique Hotel","Nature Eco","4","+919758881169","30.1199481","78.3182708"
"osm-3815682835","Pink","Haridwar","Haridwar","2200","Homestay","Nature Eco","2","9756538724","30.1172076","78.3134465"
"osm-3815682836","Himalaya","Haridwar","Haridwar","2300","Homestay","Nature Eco","3","9012052669","30.1168635","78.3134134"
"osm-3815682837","Green View","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","4","","30.117549","78.3132748"
"osm-3815682838","Ganga","Haridwar","Haridwar","2500","Homestay","Nature Eco","5","+917579153663","30.1174239","78.3136966"
"osm-3815685511","Brijwasi Palace","Haridwar","Haridwar","3900","Boutique Hotel","Nature Eco","3","","30.1172258","78.3127686"
"osm-3815685512","Nirvana Palace","Haridwar","Haridwar","4000","Boutique Hotel","Nature Eco","4","+911352440300","30.1169469","78.3133079"
"osm-3815686781","Green","Haridwar","Haridwar","4000","Boutique Hotel","Nature Eco","3","7434948","30.117654","78.3128951"
"osm-3815686782","Baba Ji","Haridwar","Haridwar","1800","Homestay","Nature Eco","4","9917139737","30.1174695","78.3135746"
"osm-3815692269","Vashishth","Haridwar","Haridwar","2400","Homestay","Nature Eco","6","00911352440029","30.1172884","78.3130203"
"osm-3815692270","Rama","Haridwar","Haridwar","2500","Homestay","Nature Eco","2","01352434417","30.1171737","78.313555"
"osm-3815692272","Yog Vashishth","Haridwar","Haridwar","3200","Boutique Hotel","Nature Eco","4","+91352440030","30.1170238","78.3128921"
"osm-3817282577","Guru Ganga","Haridwar","Haridwar","2300","Homestay","Nature Eco","4","","30.1215898","78.3286004"
"osm-3817282578","Pyramid","Haridwar","Haridwar","2400","Homestay","Nature Eco","5","","30.1219442","78.3285071"
"osm-3822420121","Akshi Yogashala","Haridwar","Haridwar","2500","Homestay","Nature Eco","3","","30.1189437","78.3181689"
"osm-3822420123","Ananda","Haridwar","Haridwar","1800","Homestay","Nature Eco","5","09758164982","30.1201061","78.3176679"
"osm-3822425465","Krishna Cottage","Haridwar","Haridwar","2300","Homestay","Nature Eco","2","01352440193","30.1198049","78.3176472"
"osm-3822425470","Sudesh","Haridwar","Haridwar","1900","Homestay","Nature Eco","2","01353240140","30.1201381","78.3176116"
"osm-3822427034","Sarika Home","Haridwar","Haridwar","2600","Homestay","Nature Eco","6","00911352440156","30.1193887","78.3183408"
"osm-3822427036","Gayatri Kunj","Haridwar","Haridwar","1900","Homestay","Nature Eco","3","01352440840","30.1199754","78.3178991"
"osm-3822427038","Hari Palace","Haridwar","Haridwar","2100","Homestay","Nature Eco","5","","30.1201779","78.317462"
"osm-3822431075","Rishikesh Yog Peeth","Haridwar","Haridwar","4000","Boutique Hotel","Nature Eco","2","","30.1194132","78.3185477"
"osm-3822628390","Last Chance","Haridwar","Haridwar","2500","Homestay","Nature Eco","2","","30.1140226","78.3108641"
"osm-3822628407","Moksha","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","4","01352440040","30.1194216","78.3173948"
"osm-3846344061","Hotel Sherina","Udham Singh Nagar","Udham Singh Nagar","3500","Boutique Hotel","Nature Eco","3","+915947272999","29.1856133","79.0036454"
"osm-4030163467","Padmini Palace","Dehradun","Dehradun","3900","Boutique Hotel","Nature Eco","4","","30.1847663","78.1682265"
"osm-4063497856","Rokeby Manor","Dehradun","Dehradun","3900","Boutique Hotel","Nature Eco","3","","30.4601837","78.0964649"
"osm-4100508994","Hotel Orange Classic","Rishikesh","Haridwar","3600","Boutique Hotel","Nature Eco","6","","30.1246416","78.3309934"
"osm-4102939590","Raga on the Ganges Resort","Tehri Garhwal","Tehri Garhwal","3800","Boutique Hotel","Nature Eco","2","","30.0624771","78.4869687"
"osm-4110125604","Hotel Swagat Palace","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","6","+91 1334 221 581","29.9460968","78.1584395"
"osm-4147180411","Old Guest house","Dehradun","Dehradun","2200","Homestay","Nature Eco","3","","30.2834606","77.975838"
"osm-4147180412","New Guest House","Dehradun","Dehradun","2300","Homestay","Nature Eco","4","","30.2853795","77.9745521"
"osm-4147180413","Old Hostel","Dehradun","Dehradun","1500","Backpacker Hostel","Adventure","5","","30.2838324","77.9752462"
"osm-4152488109","Hotel Harbola","Nainital","Nainital","3800","Boutique Hotel","Nature Eco","6","","29.1972585","79.5121113"
"osm-4153573789","Diber DRDO","Udham Singh Nagar","Udham Singh Nagar","2500","Homestay","Nature Eco","6","","29.1682312","79.5202234"
"osm-4165485989","Bunkotel","Dehradun","Dehradun","1400","Backpacker Hostel","Adventure","6","","30.45712","78.0759936"
"osm-4165999093","Bunkotel","Dehradun","Dehradun","1000","Backpacker Hostel","Adventure","5","","30.4572747","78.07541"
"osm-4168560291","PlaceForSleep (warm&simple&cheap100rp) family house ask people","Dehradun","Dehradun","2400","Homestay","Nature Eco","3","","30.8140434","77.8393622"
"osm-4203708608","Four Points by Sheraton Dehradun Hotel","Dehradun","Dehradun","3400","Boutique Hotel","Nature Eco","5","","30.3654948","78.0700421"
"osm-4211862090","Prospect Point Lodge","Dehradun","Dehradun","2400","Homestay","Nature Eco","2","","30.4558635","78.1038766"
"osm-4211923370","Pine Tree Lodge","Dehradun","Dehradun","2300","Homestay","Nature Eco","2","9760245445","30.4565337","78.1025138"
"osm-4211970483","The Cliffe","Dehradun","Dehradun","3500","Boutique Hotel","Nature Eco","5","","30.4585091","78.0918902"
"osm-4212033322","Tulip Inn","Dehradun","Dehradun","3600","Boutique Hotel","Nature Eco","4","","30.4586967","78.0728436"
"osm-4212040743","Club Mahindra","Dehradun","Dehradun","3200","Boutique Hotel","Nature Eco","5","","30.4601407","78.0725575"
"osm-4226929892","Vedas Tapovan","Haridwar","Haridwar","4000","Boutique Hotel","Nature Eco","4","","30.1304473","78.3260418"
"osm-4241730489","Soho","Dehradun","Dehradun","3800","Boutique Hotel","Nature Eco","6","","30.3236389","78.0551147"
"osm-4264135789","Maa Ganga Guesthouse","Haridwar","Haridwar","1300","Backpacker Hostel","Adventure","6","","30.1243587","78.3304812"
"osm-4264650994","Hotel Amber","Udham Singh Nagar","Udham Singh Nagar","3600","Boutique Hotel","Nature Eco","6","","28.9788787","79.3964412"
"osm-4264667589","Hotel Rudra Continental & Restaurant bar","Udham Singh Nagar","Udham Singh Nagar","3500","Boutique Hotel","Nature Eco","6","","28.9772077","79.3925696"
"osm-4266645670","Ganesha Inn","Haridwar","Haridwar","3300","Boutique Hotel","Nature Eco","2","","30.1274042","78.3229371"
"osm-4269258093","Hotel Akash Ganga","Haridwar","Haridwar","3500","Boutique Hotel","Nature Eco","5","","30.1038628","78.296369"
"osm-4269649289","shiv shanti guesthouse","Haridwar","Haridwar","1400","Backpacker Hostel","Adventure","6","","30.1244055","78.3305441"
"osm-4269649389","Snow Crest Hotel","Chamoli","Chamoli","3800","Boutique Hotel","Char Dham","6","","30.5561902","79.5562823"
"osm-4367973004","Zostel","Rishikesh","Haridwar","1600","Backpacker Hostel","Adventure","6","","30.1316494","78.324895"
"osm-4411229695","ANNA Café","Haridwar","Haridwar","2500","Homestay","Nature Eco","2","+919793856886","30.1227275","78.3287457"
"osm-4421831590","GMVN Hotel Devlok","Chamoli","Chamoli","3300","Boutique Hotel","Char Dham","2","","30.7438484","79.4934267"
"osm-4421831591","Janki Guest House","Chamoli","Chamoli","2000","Homestay","Char Dham","3","","30.7375377","79.4938996"
"osm-4457764090","Hotel Vishwa Chandra Palace","Haridwar","Haridwar","3300","Boutique Hotel","Nature Eco","2","01352435087","30.1297025","78.3229509"
"osm-4465992090","Jungal Guest House","Almora","Almora","2100","Homestay","Nature Eco","2","+919410158598","29.6523146","79.6656922"
"osm-4492901389","Hotel Om","Haridwar","Haridwar","3600","Boutique Hotel","Nature Eco","6","","30.1237522","78.3296846"
"osm-4520573391","Hotel Devaaya Palace","Haridwar","Haridwar","3500","Boutique Hotel","Nature Eco","3","","30.1264449","78.3277994"
"osm-4529420789","Mahakali","Champawat","Champawat","3700","Boutique Hotel","Nature Eco","6","","28.9937011","80.0710961"
"osm-4535332590","East Railway Guest House","Almora","Almora","2100","Homestay","Nature Eco","2","","29.6444215","79.4408023"
"osm-4646819790","Rhodendron forest - Mud hut @ Chopta","Chamoli","Chamoli","1800","Homestay","Wildlife","2","7895031411","30.4782252","79.2105621"
"osm-4646860089","Peaches and Pears B&B","Chamoli","Chamoli","2400","Homestay","Char Dham","6","9917012636","30.4161073","79.3423964"
"osm-4662746089","Swiss cottage. 1961","Haridwar","Haridwar","2500","Homestay","Nature Eco","6","9412992856","30.1098769","78.3044908"
"osm-4720033589","Tatsa","Haridwar","Haridwar","3700","Boutique Hotel","Nature Eco","6","","30.1317941","78.3236115"
"osm-4750023421","Hotel Prashant","Nainital","Nainital","3300","Boutique Hotel","Nature Eco","3","","29.3815111","79.4646998"
"osm-4762330607","Ganga Guest House","Almora","Almora","2000","Homestay","Nature Eco","4","","29.644063","79.6630198"
"osm-4762367441","Pappu Cottage","Almora","Almora","2600","Homestay","Nature Eco","3","","29.651886","79.668637"
"osm-4766205093","Bohra Ji Hotel & Restaurant","Champawat","Champawat","3800","Boutique Hotel","Nature Eco","5","","28.9927738","80.0705885"
"osm-4766208188","KMVN Guest House","Champawat","Champawat","2300","Homestay","Nature Eco","5","","29.4041986","80.0862567"
"osm-4770119746","Bansal's Guest House","Almora","Almora","1900","Homestay","Nature Eco","3","","29.5988016","79.6598263"
"osm-4770923986","Hotel Govind Palace","Uttarkashi","Uttarkashi","1900","Homestay","Char Dham","3","","30.7297963","78.437446"
"osm-4771056231","Guest house","Uttarkashi","Uttarkashi","1800","Homestay","Char Dham","3","","30.9028942","78.6801684"
"osm-4771101731","Guest house","Uttarkashi","Uttarkashi","2300","Homestay","Char Dham","3","","30.9935749","78.9404052"
"osm-4771345381","GMVN Guest house","Chamoli","Chamoli","1600","Backpacker Hostel","Char Dham","3","","30.9508469","79.0518554"
"osm-4781094025","bisht house","Haridwar","Haridwar","2200","Homestay","Nature Eco","2","","30.1221768","78.3262962"
"osm-4793451323","Rautela hotel","Champawat","Champawat","3700","Boutique Hotel","Nature Eco","5","","28.9921645","80.0700669"
"osm-4793476023","Hotel Sitar International","Udham Singh Nagar","Udham Singh Nagar","3200","Boutique Hotel","Nature Eco","5","","28.9351937","79.7051449"
"osm-4800962824","Sandhu Hotel and Restaurant","Pauri Garhwal","Pauri Garhwal","3900","Boutique Hotel","Nature Eco","6","","29.2600111","78.859491"
"osm-4800977430","Hotel Corbett Kingdom","Nainital","Nainital","3800","Boutique Hotel","Wildlife","2","","29.3906436","79.1282279"
"osm-4830776631","Anand Prakash Yoga","Haridwar","Haridwar","1800","Homestay","Nature Eco","3","","30.129946","78.3253178"
"osm-4850182121","Nature Care Village","Haridwar","Haridwar","2300","Homestay","Nature Eco","3","","30.0793641","78.1708268"
"osm-4850182321","Yoga guesthouse","Haridwar","Haridwar","2500","Homestay","Nature Eco","3","","30.1267328","78.3318092"
"osm-4853077721","Avdhoot Ashram","Haridwar","Haridwar","1700","Backpacker Hostel","Adventure","3","","30.1078358","78.2943034"
"osm-4879748750","Flower home stay","Almora","Almora","2300","Homestay","Nature Eco","2","","29.6461303","79.6650963"
"osm-4922436521","Hotel Park View Premium","Dehradun","Dehradun","3400","Boutique Hotel","Nature Eco","3","","30.3275168","78.0447796"
"osm-4951872021","Mango Tree Guesthouse","Haridwar","Haridwar","1200","Backpacker Hostel","Adventure","3","","30.1259493","78.3310138"
"osm-4952735222","Hotel deepsika","Dehradun","Dehradun","1400","Backpacker Hostel","Adventure","4","","30.3323047","78.0490516"
"osm-4975096722","Hotel City Center","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","4","","29.9465408","78.155293"
"osm-4978659802","Kali Kamli Dharamshala","Uttarkashi","Uttarkashi","2200","Homestay","Char Dham","4","","30.7291933","78.4364496"
"osm-4984042424","Sai ganga cottage","Haridwar","Haridwar","3700","Boutique Hotel","Nature Eco","6","","30.1317535","78.3245528"
"osm-4984042425","Rainbow Holiday Home","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","2","","30.1316071","78.3252917"
"osm-4984042427","Hill Top Camp","Tehri Garhwal","Tehri Garhwal","4000","Boutique Hotel","Camping","4","","30.1511784","78.4183034"
"osm-4984049421","Hotel Rishikesh","Haridwar","Haridwar","3200","Boutique Hotel","Nature Eco","3","","30.1317826","78.3245968"
"osm-5001731232","Hotel raj palace","Dehradun","Dehradun","3800","Boutique Hotel","Nature Eco","4","","30.4559348","78.0805002"
"osm-5001731233","Rose paying guest house","Dehradun","Dehradun","2500","Homestay","Nature Eco","5","","30.4560532","78.0803593"
"osm-5001731429","Kasmanda Palace","Dehradun","Dehradun","3700","Boutique Hotel","Nature Eco","6","01352632424","30.4601285","78.0690152"
"osm-5001733327","Hotel Mayur","Dehradun","Dehradun","3600","Boutique Hotel","Nature Eco","4","","30.4603399","78.0659847"
"osm-5001733328","Hotel Paramount","Dehradun","Dehradun","3700","Boutique Hotel","Nature Eco","5","","30.4602652","78.0658324"
"osm-5001748322","D-towerz","Dehradun","Dehradun","3700","Boutique Hotel","Nature Eco","4","","30.2946939","78.0550938"
"osm-5001748325","The three oaks boutique hotel","Dehradun","Dehradun","4000","Boutique Hotel","Nature Eco","2","","30.4593301","78.0708475"
"osm-5001751021","Paradise Mansion","Dehradun","Dehradun","3000","Mountain Chalet","Adventure","3","","30.4598542","78.0688759"
"osm-5031581922","My Home","Dehradun","Dehradun","1800","Homestay","Nature Eco","4","","30.3418278","77.928167"
"osm-5034020534","Gardenia","Haridwar","Sidcul","4000","Boutique Hotel","Nature Eco","6","","29.932623","78.0707331"
"osm-5060366023","Freedom","Almora","Almora","2200","Homestay","Nature Eco","5","","29.6507741","79.6646442"
"osm-5077010643","The Manor Kashipur Hotel","Kashipur","Udham Singh Nagar","3800","Boutique Hotel","Nature Eco","5","","29.1986411","78.9779001"
"osm-5167489064","Jim's Jungle Retreat","Nainital","Nainital","3700","Boutique Hotel","Wildlife","6","","29.406938","79.0083738"
"osm-5167489065","The Golden Tusk","Nainital","Nainital","3800","Boutique Hotel","Nature Eco","2","","29.4134877","79.0022456"
"osm-5167489066","Tusk & Roar","Nainital","Nainital","3900","Boutique Hotel","Nature Eco","3","","29.410422","79.0042137"
"osm-5244444821","Moustache Rishikesh","Haridwar","Haridwar","1100","Backpacker Hostel","Adventure","3","+91 96500 15650","30.1298242","78.3208958"
"osm-5300200528","The kumaon","Almora","Almora","3900","Boutique Hotel","Nature Eco","5","","29.6606634","79.6718756"
"osm-5326870723","Aasta Palace","Haridwar","Haridwar","3900","Boutique Hotel","Nature Eco","5","","29.9446967","78.1562403"
"osm-5417800173","Govind Bhawan","Haridwar","Haridwar","900","Backpacker Hostel","Adventure","5","","29.8620274","77.8944728"
"osm-5463821509","Hotel Himsagar","Almora","Almora","3900","Boutique Hotel","Nature Eco","6","","29.5969839","79.6564387"
"osm-5498038521","Veda5","Haridwar","Haridwar","3200","Boutique Hotel","Nature Eco","3","","30.1008826","78.3828027"
"osm-5515807607","Geeli Mitti","Nainital","Nainital","1700","Backpacker Hostel","Adventure","4","","29.4259085","79.391182"
"osm-5645503321","Johar hilltop","Pithoragarh","Pithoragarh","2500","Homestay","Nature Eco","3","","30.0685331","80.2362183"
"osm-5655418621","Maan Hotel","Haridwar","Haridwar","2500","Homestay","Nature Eco","3","8954793658","29.9454102","78.1577932"
"osm-5689549822","Laxmi","Almora","Almora","2200","Homestay","Nature Eco","4","","29.6535985","79.6690306"
"osm-5689617421","Mohan's","Almora","Almora","3600","Boutique Hotel","Nature Eco","3","","29.6497967","79.6643482"
"osm-5869300985","DIT boys Hostel","Dehradun","Dehradun","1700","Backpacker Hostel","Adventure","2","","30.3974729","78.0743407"
"osm-5869300986","Girls Hostel","Dehradun","Dehradun","900","Backpacker Hostel","Adventure","3","","30.4003182","78.0766244"
"osm-5869300987","IMS boys hostel","Dehradun","Dehradun","1000","Backpacker Hostel","Adventure","4","","30.3990575","78.0773248"
"osm-5933577653","Kaveri Hostel","Dehradun","Dehradun","1700","Backpacker Hostel","Adventure","5","","30.4691805","78.0541671"
"osm-5933577654","Narmada Hostel","Dehradun","Dehradun","900","Backpacker Hostel","Adventure","6","","30.4693192","78.0542744"
"osm-5933577655","Ganga Hostel","Dehradun","Dehradun","1000","Backpacker Hostel","Adventure","2","","30.4696151","78.0535931"
"osm-5933591158","Mahanadi Hostel","Dehradun","Dehradun","1300","Backpacker Hostel","Adventure","5","","30.4700945","78.0538221"
"osm-5938142186","Vasundhara Palace","Haridwar","Haridwar","3400","Boutique Hotel","Nature Eco","3","","30.1184363","78.3057877"
"osm-5977438765","Mohan Ram Guesthouse ","Almora","Almora","2500","Homestay","Nature Eco","2","+91 75006 01195","29.6555028","79.6960023"
"osm-5994398366","Hotel Akash Ganga","Uttarkashi","Uttarkashi","4000","Boutique Hotel","Char Dham","3","","30.7362598","78.4003677"
"osm-6009154285","laxman Jhula Regency Boutique Hotel","Haridwar","Haridwar","3600","Boutique Hotel","Nature Eco","2","","30.123016","78.3276382"
"osm-6044200285","Hashtag Hostel","Haridwar","Haridwar","1300","Backpacker Hostel","Adventure","2","+919911555659","30.1311042","78.3249234"
"osm-6051101118","Hotel Fatehpuri","Uttarkashi","Uttarkashi","3800","Boutique Hotel","Char Dham","5","","30.9451225","77.8498943"
"osm-6051102251","Hotel Vasundhara","Uttarkashi","Uttarkashi","3700","Boutique Hotel","Char Dham","3","","30.9452919","77.8498606"
"osm-6051104988","Apurva Hotel & Restaurant","Uttarkashi","Uttarkashi","3800","Boutique Hotel","Char Dham","5","","30.9453385","77.8496178"
"osm-6066342085","Hotel Royal","Dehradun","Dehradun","3600","Boutique Hotel","Nature Eco","2","","30.3163847","78.0336059"
"osm-6066360185","Hotel The Onix","Dehradun","Dehradun","3700","Boutique Hotel","Nature Eco","2","","30.2972652","78.0052973"
"osm-6089252394","Government hotel","Dehradun","Dehradun","3500","Boutique Hotel","Nature Eco","6","","30.4964054","77.7920048"
"osm-6089252395","Rishikesh Hostel","Haridwar","Haridwar","1300","Backpacker Hostel","Adventure","2","","30.1301056","78.3257753"
"osm-6115841388","Ajanta","Dehradun","Dehradun","3200","Boutique Hotel","Nature Eco","5","","30.3416253","78.0603692"
"osm-6121571816","Hotel Central Palace","Dehradun","Dehradun","3400","Boutique Hotel","Nature Eco","3","","30.3278663","78.0452688"
"osm-6121571817","Hotel Sunrise","Dehradun","Dehradun","3500","Boutique Hotel","Nature Eco","4","","30.3459101","78.0610941"
"osm-6123644585","Hotel Radiance","Dehradun","Dehradun","4000","Boutique Hotel","Nature Eco","2","","30.3694276","78.0743902"
"osm-6123644590","Lemontree Hotel","Dehradun","Dehradun","3600","Boutique Hotel","Nature Eco","2","","30.3662903","78.0708428"
"osm-6123647179","Sri Sharada Peetham Guest House","Dehradun","Dehradun","1000","Backpacker Hostel","Adventure","6","","30.3711774","78.0768768"
"osm-6147612906","Ramada Dehradun Chakrata Road","Dehradun","Dehradun","3800","Boutique Hotel","Nature Eco","3","","30.3330449","78.0225344"
"osm-6172371417","Shepherds Lodge Devangan","Joshimath","Chamoli","3500","Boutique Hotel","Char Dham","4","","30.4947817","79.7028786"
"osm-6177846885","Madhuban guest house","Haridwar","Haridwar","3800","Boutique Hotel","Nature Eco","2","","29.9456634","78.1580395"
"osm-6187386837","Kanasar Ecolodge","Chakrata Thesil","Dehradun","3500","Boutique Hotel","Nature Eco","4","+919458388555","30.7842482","77.8285037"
"osm-6257669585","Mild life","Haridwar","Haridwar","1400","Backpacker Hostel","Adventure","2","","30.1301862","78.32343"
"osm-6414477985","Nakshatra","Haridwar","Haridwar","1900","Homestay","Nature Eco","2","","30.1288927","78.3226756"
"osm-6479961791","ग्राम इसोटी","Pauri Garhwal","Pauri Garhwal","2300","Homestay","Nature Eco","3","+919868144540","30.0057528","78.8719277"
"osm-6520184160","Guest house","Bageshwar","Bageshwar","2400","Homestay","Nature Eco","2","","30.2024109","79.9978576"
"osm-6520213931","Gairuli Patal","Bageshwar","Bageshwar","2300","Homestay","Nature Eco","3","","30.204462","79.652239"
"osm-6520222124","Guesthouse","Uttarkashi","Uttarkashi","2600","Homestay","Char Dham","6","","30.7627456","78.6334494"
"osm-6520232704","Rest house","Bageshwar","Bageshwar","2200","Homestay","Nature Eco","6","","30.143012","79.9655429"
"osm-6520256949","Dhaba shelter","Bageshwar","Bageshwar","2100","Homestay","Nature Eco","6","","30.1998652","80.2620905"
"osm-6558338784","Shree Krishna Palace","Tehri Garhwal","Tehri Garhwal","3500","Boutique Hotel","Nature Eco","6","","30.331214","78.4050552"
"osm-6564481490","Sahara Homestay","Pithoragarh","Pithoragarh","2000","Homestay","Nature Eco","2","","30.0643962","80.2381575"
"osm-6564485485","Hotel Bala Paradise & Restaurant","Pithoragarh","Pithoragarh","3300","Boutique Hotel","Nature Eco","2","","30.0672428","80.2377405"
"osm-6564858785","Travel Dreams Hostel","Haridwar","Haridwar","1700","Backpacker Hostel","Adventure","2","","30.1227481","78.3290664"
"osm-6570126185","KMVN Tourist Rest House","Bageshwar","Bageshwar","3700","Boutique Hotel","Nature Eco","2","","29.8325838","79.7720813"
"osm-6570126285","Sayana Lodge","Chamoli","Chamoli","3800","Boutique Hotel","Char Dham","2","01372262201","30.4015642","79.3310158"
"osm-6594267515","University Guest House","Rudraprayag","Rudraprayag","2300","Homestay","Char Dham","2","","30.0590457","78.9946908"
"osm-6618239986","Hotel Pardesi","Haridwar","Haridwar","1300","Backpacker Hostel","Adventure","3","","29.9481352","78.1590051"
"osm-6657700385","Gungun homestay","Haridwar","Haridwar","3400","Boutique Hotel","Nature Eco","2","","30.129897","78.3197994"
"osm-6734772385","KK Hotel","Udham Singh Nagar","Udham Singh Nagar","3900","Boutique Hotel","Nature Eco","2","","28.9710623","79.3977748"
"osm-6738244422","Himpalace","Dehradun","Dehradun","3800","Boutique Hotel","Nature Eco","4","","30.3001095","78.0502948"
"osm-6780758686","Alka hotel","Nainital","Nainital","3900","Boutique Hotel","Nature Eco","3","","29.3859648","79.4624278"
